year,t_JAS_aoi,t_dt_JAS_aoi,rain_JAS_aoi,wsi_JAS_aoi,spi_JAS_aoi,z_JAS_aoi,z_dt_JAS_aoi,t_JAS_nat,t_dt_JAS_nat,rain_JAS_nat,wsi_JAS_nat,spi_JAS_nat,z_JAS_nat,z_dt_JAS_nat,era5_nat,era5_aoi,asi_nat,asi_aoi,mvhi_nat,mvhi_aoi,prod_anom,impact,impact_cerf,impact_emdat,impact_plus_undated
2001,27.96777777777778,-0.05900793300148166,34.760444444444445,75.40620909090909,0.35545454545454547,0.2018681818181818,0.4868087904379392,26.57476456043956,-0.17832003205548327,65.26335604395604,86.59391384615385,0.8104523076923077,-0.05466029411764706,-0.11941648230916516,2.758147166666667,3.3509805047619046,0.04,0.055,0.62,0.635,-8.551097427069937,0,0,0,0
2002,28.753151515151515,0.7074872633642219,31.913116161616163,66.30949090909091,-0.5639,-0.6101090909090909,-0.34891353300764666,27.244163492063493,0.4707726618413572,50.97649969474969,79.63367692307693,-0.7242861538461539,-0.3154676470588235,-0.3748274862343818,2.233242833333333,2.743918856190476,5.43,4.61,0.48,0.5016666666666666,-17.198007801047666,0,0,0,0
2003,27.64309595959596,-0.42144683319936793,36.8750202020202,79.67711818181819,0.6173636363636363,0.3170636363636363,0.5545141435467674,26.49629642857143,-0.29740063937779776,55.68563174603174,86.94828000000001,0.40366461538461534,0.2533323529411765,0.19936886278157806,2.7202143333333333,3.4758763042857144,3.29,0.065,0.54,0.6016666666666667,3.3648858287496433,0,0,0,0
2004,28.546232323232324,0.4628109894289621,24.62538888888889,65.14410909090908,-0.8603363636363636,-0.5238681818181818,-0.31016272535336376,27.002313705738704,0.18831040006238792,47.76942246642247,81.94866153846155,-0.7410307692307693,0.22882941176470586,0.18026227062106728,2.1262391333333333,2.325081296,5.12,2.9583333333333335,0.49,0.505,-30.80832546571561,0,0,0,0
2005,27.76259595959596,-0.33970391521543647,38.06452525252525,82.3517,1.0546454545454547,0.4720636363636364,0.6620240421101413,26.709362423687423,-0.12494711971598617,56.584676984126986,90.13732923076924,0.5806461538461538,0.4799279411764706,0.4367571490487918,2.8082255666666662,3.554257219047619,0.04,0.08666666666666667,0.58,0.625,1.953477510785762,0,0,0,0
2006,28.578267676767677,0.45708926094824726,32.11176767676768,70.59720909090909,-0.13834545454545452,-0.6207909090909091,-0.45457555406271727,27.125692032967034,0.2710762518365314,56.72153702686203,83.94983076923076,0.17787692307692307,-0.22371764705882352,-0.2614920901705424,2.1972447333333336,2.699529303809524,0.64,0.19499999999999998,0.55,0.605,18.78623574905445,0,0,0,0
2007,27.75518181818182,-0.38487513864564576,30.093550505050505,69.86534545454545,-0.13863636363636364,0.44108636363636367,0.5835566679462423,26.588436263736266,-0.2864857551213296,50.81068357753358,83.24720923076923,-0.20399076923076925,0.4254955882352941,0.39311749413953506,2.4180682,2.8012644852380952,1.81,0.3016666666666667,0.56,0.6333333333333334,-9.19242702858313,0,0,0,0
2008,28.201580808080806,0.042645310245309626,30.1314898989899,67.26764545454544,-0.07996363636363636,-0.34598181818181817,-0.22725656459025262,26.768804914529913,-0.12642334205477063,54.971634981684986,81.03411384615384,0.2790738461538462,0.13388235294117648,0.10690060786137727,2.4092971999999997,2.814214735238095,0.62,0.013333333333333334,0.61,0.685,-8.306777268572791,0,0,0,0
2009,29.266414141414142,1.0886001025706094,26.211368686868685,65.55076363636364,-1.0568272727272727,-0.6226318181818182,-0.5276516153085657,27.64889658119658,0.7333620868848049,47.219620879120875,79.07914461538462,-0.8172092307692308,-0.43970441176470587,-0.4612898078285453,2.0206451333333333,2.2782730752380953,3.81,1.1466666666666667,0.5,0.59,-26.202783829397152,1,1,1,1
2010,28.117323232323233,-0.07936934752833431,38.04124242424243,81.80287272727273,0.6503909090909091,0.2669590909090909,0.3381942430640303,26.87439871794872,-0.06144201409015027,58.25600998168498,89.77117846153845,0.7534953846153847,0.09172647058823531,0.07553742354035577,2.9401767666666667,3.634756928095238,0.15,0.2416666666666667,0.63,0.71,38.70690929300469,0,0,0,0
