year,t_JAS_aoi,t_dt_JAS_aoi,rain_JAS_aoi,wsi_JAS_aoi,spi_JAS_aoi,z_JAS_aoi,z_dt_JAS_aoi,t_JAS_nat,t_dt_JAS_nat,rain_JAS_nat,wsi_JAS_nat,spi_JAS_nat,z_JAS_nat,z_dt_JAS_nat,era5_nat,era5_aoi,asi_nat,asi_aoi,mvhi_nat,mvhi_aoi,prod_anom,impact,impact_cerf,impact_emdat,impact_plus_undated
2011,28.715267676767677,0.4996965559080769,29.19620202020202,63.0156,-0.39289090909090907,-0.8218590909090909,-0.7743689894724647,27.171170451770454,0.21502348200449226,54.37107295482296,79.62724615384614,0.09282153846153847,-0.48078235294117644,-0.4915750509730961,2.201802266666667,2.3425484066666664,0.9,0.64,0.56,0.5816666666666667,-25.7295862073764,1,1,1,1
2012,27.66353535353535,-0.5709143083322815,34.440045454545455,84.18507272727273,0.8722545454545454,0.8833227272727272,0.9070677779910404,26.483960134310134,-0.4924930731829173,55.98507240537241,90.60138461538462,0.8556523076923077,0.7072455882352942,0.7018492392193343,2.6974752333333334,3.1523198357142856,0.29,0.015,0.68,0.7483333333333334,49.6456823802652,0,0,0,0
2013,28.250969696969698,-0.002358505905972308,24.063954545454546,63.41768181818182,-0.8164636363636363,-0.29962272727272726,-0.29962272727272726,26.892025396825396,-0.10473404839474615,49.39351862026862,80.59263076923077,-0.1951630769230769,-0.09199558823529412,-0.09199558823529412,2.2527980666666667,2.7832029723809524,1.08,0.535,0.6,0.6366666666666667,-2.0132235946748605,0,0,0,0
2014,28.50332828282828,0.23112153894457937,33.622505050505055,66.80124545454545,-0.2622363636363636,-0.5057590909090909,-0.5295041416274041,27.117902594627594,0.10083691168035948,54.11651916971917,79.96477538461538,-0.2879846153846154,-0.32933970588235295,-0.3239433568663931,2.219640266666667,2.770194204761905,5.18,0.24833333333333332,0.56,0.63,14.126643481665754,0,0,0,0
2015,29.130994949494948,0.8399096646032121,31.392717171717173,64.48256363636364,-0.5910181818181818,-0.5319318181818182,-0.5794219196184444,27.73358962148962,0.6962177008152952,51.889001526251526,80.9831323076923,-0.6008338461538462,-0.61595,-0.6051573019680803,1.9845185,2.3003546038095237,8.83,4.233333333333333,0.5,0.5633333333333334,-1.5505073816275934,0,0,0,0
2016,28.263489898989896,-0.04647392690987282,31.672449494949493,78.15203636363637,0.14165454545454545,0.19784999999999997,0.12661484784506064,27.175235744810742,0.117557586409327,53.382898534798535,87.4395076923077,0.08001538461538463,0.15051470588235294,0.16670375293023246,2.458484466666667,3.1415409766666667,1.33,0.795,0.59,0.6516666666666667,15.706218897825016,1,0,1,1
2017,28.66911111111111,0.3402687442033049,30.96568686868687,77.90175454545455,-0.007327272727272724,-0.29923636363636363,-0.39421656650961606,27.2408528998779,0.1628685037493901,54.79332112332112,87.82838461538462,0.0537446153846154,-0.04551764705882353,-0.02393225099498416,2.2495239,2.6351711047619046,3.73,2.1466666666666665,0.55,0.5983333333333333,5.872061036769732,1,1,0,1
2018,27.884676767676766,-0.4630441402390726,35.433898989898985,81.0310909090909,0.8818090909090909,0.7128863636363637,0.594161110044798,26.896335805860804,-0.2019548279947955,54.0462876984127,90.14322153846155,0.3761353846153846,0.28363382352941174,0.31061556860921097,2.6311785666666663,3.211602486190476,3.93,0.3933333333333333,0.63,0.7200000000000001,12.451321723940392,0,0,0,0
2019,28.08616161616162,-0.2804378327622575,40.29825252525252,76.88486363636365,0.8847909090909091,-0.22346363636363636,-0.3659339406735151,27.00879133089133,-0.10980554069136156,61.76331587301587,87.62240615384616,0.7082184615384615,-0.15235588235294117,-0.11997778825718211,2.5596218,2.8092673476190475,0.94,0.15666666666666668,0.65,0.6666666666666666,6.651633799608585,0,0,0,0
2020,27.804828282828282,-0.5806497071036258,40.643151515151516,81.46472727272727,0.534009090909091,0.23035454545454545,0.06413919042635366,26.83484352869353,-0.30405958061625604,57.53822438949939,89.07669538461539,-0.11731692307692307,0.11226764705882353,0.1500420901705424,2.5117853333333335,3.12933804047619,2.37,0.3983333333333334,0.64,0.7183333333333333,2.373968660471752,0,0,0,0
2021,28.61026767676768,0.20591114582773526,37.26882828282828,73.68239090909091,0.22586363636363638,0.0725181818181818,-0.1174422239283231,27.372388553113552,0.21317920607667717,56.903040506715506,84.68552615384615,-0.022021538461538474,-0.1668264705882353,-0.12365567846055656,1.8539539333333332,2.1006638395238095,6.46,2.263333333333333,0.6,0.665,-8.167811470906985,1,0,1,1
2022,28.070186868686868,-0.353048203261108,46.51341919191919,87.65058181818182,1.2939363636363637,0.6236909090909091,0.40998545262609104,26.8060746031746,-0.3734409815893647,67.91098592796094,92.11211692307691,1.2988892307692308,0.06738382352941176,0.11595096467305034,2.4456776666666666,2.620136349047619,5.74,0.47833333333333333,0.65,0.745,-1.4827829578380844,0,0,0,0
2023,29.855393939393938,1.413280326437929,33.04291919191919,73.13584545454545,0.4423818181818182,-0.02320000000000002,-0.26065050718313115,28.084640750915753,0.8848189284246912,51.8502913003663,86.1336923076923,0.13256307692307692,0.08511176470588235,0.13907525486548078,1.422282143333333,1.3687827714285714,4.52,1.4533333333333331,0.61,0.65,-12.087817889567235,0,0,0,0
2024,27.69327777777778,-0.7677143761862673,52.450191919191916,93.06504545454546,1.7372999999999998,0.6446909090909091,0.3834953511894648,26.833933028083027,-0.3861950321351226,71.89664584859585,92.11656307692309,1.372486153846154,-0.10107647058823528,-0.041716631412677035,4.159829866666667,5.46730004952381,1.84,0.6033333333333334,0.7,0.785,-23.621294288297534,0,0,0,0
2025,28.367752525252524,-0.11211816971955345,42.409858585858586,80.39727272727272,0.5801545454545455,0.5659090909090909,0.2809684822893335,27.067355555555555,-0.1730787423896869,66.54271196581198,85.26421846153846,0.5715876923076922,-0.05608970588235293,0.008666482309165181,2.0664721666666668,2.0950374585714284,11.5,1.5,0.62,0.7166666666666667,,0,0,0,0
