year,t_kiremt_aoi,t_dt_kiremt_aoi,rain_kiremt_aoi,wsi_kiremt_aoi,spi_kiremt_aoi,z_kiremt_aoi,z_dt_kiremt_aoi,t_kiremt_nat,t_dt_kiremt_nat,rain_kiremt_nat,wsi_kiremt_nat,spi_kiremt_nat,z_kiremt_nat,z_dt_kiremt_nat,t_belg_aoi,t_dt_belg_aoi,rain_belg_aoi,wsi_belg_aoi,spi_belg_aoi,z_belg_aoi,z_dt_belg_aoi,t_belg_nat,t_dt_belg_nat,rain_belg_nat,wsi_belg_nat,spi_belg_nat,z_belg_nat,z_dt_belg_nat,t_deyr_aoi,t_dt_deyr_aoi,rain_deyr_aoi,wsi_deyr_aoi,spi_deyr_aoi,z_deyr_aoi,z_dt_deyr_aoi,t_deyr_nat,t_dt_deyr_nat,rain_deyr_nat,wsi_deyr_nat,spi_deyr_nat,z_deyr_nat,z_dt_deyr_nat,era5_nat,era5_aoi,asi_nat,asi_aoi,mvhi_nat,mvhi_aoi,prod_anom,impact,impact_cerf,impact_emdat,impact_plus_undated
2001,19.628804269547324,-0.3105633503289957,43.949096165357275,82.27637486772485,0.07670198412698413,0.15734307760141095,0.3961986268506436,19.262836745169082,-0.3091049779134084,57.555046481115504,88.65099332298136,0.21015737577639754,0.22097388716356106,0.44880118715406125,20.799703887419167,-0.33175067112464424,39.36120484273956,81.07391481481481,-0.014714814814814814,0.08262037037037037,0.23553366263532904,20.619149736887508,-0.2947215597879149,37.77113080141477,78.63013188405797,-0.07173007246376811,0.04165760869565218,0.2514235430025173,20.280057613168722,0.08131096366130393,15.345985596707818,67.8155,-0.3985444444444444,0.08285185185185184,0.39056531191221694,19.902210144927537,0.04865223973786242,15.115504830917873,70.55103913043479,-0.49576304347826083,0.17865,0.5087904132305733,4.52470995,3.3921806224999997,5.0,19.79,0.51,0.4775,23.248017438054486,0,0,0,0
2002,20.08705499438833,0.12292155637604321,37.166393317433595,78.37494947089947,-0.7998705908289241,-0.21258117283950617,0.0063697473056237965,19.814056011198947,0.2200536399126948,48.203150606609576,85.01472344720496,-0.8138479554865424,-0.18438693064182193,0.024454761016136556,21.160287845385067,0.0014049171677305633,31.973322494121106,82.11692222222221,-0.2929148148148148,0.14215925925925926,0.2823297771688047,21.122049560041408,0.1795340584382908,30.55110770358868,77.52484565217391,-0.36561086956521743,0.08329610507246377,0.2755815448537568,20.270265432098768,0.047976895534330426,18.964940329218106,66.15777777777778,-0.5682407407407407,-0.2605703703703704,0.021500301351630967,20.02047222222222,0.14250274300315274,17.79441304347826,67.93274130434783,-0.6209804347826087,-0.2576934782608696,0.044935233867155935,3.9073615,2.62346982015,25.61,45.1725,0.41,0.3625,0.21187419634241994,1,0,1,1
2003,19.646976052188553,-0.34192320395969666,45.35386937429854,81.92939744268078,0.023927821869488528,-0.33095379188712526,-0.13190750084609798,19.293346269762846,-0.3227167497271661,59.72247151679842,87.75730781573499,0.06772316252587991,-0.35267707039337476,-0.16282098706795792,21.14235537918871,-0.04395591870215249,36.02734465020576,80.99453333333334,-0.048485185185185194,-0.18182962962962962,-0.0544018860754974,21.132287482746722,0.16112777621591104,32.05706875431332,75.75026576086957,-0.34564057971014495,-0.27633097826086955,-0.10152603300514863,20.07254938271605,-0.1732810409054009,14.166909465020577,61.51935185185185,-0.501237037037037,-0.7188314814814815,-0.46240359809784387,19.76950845410628,-0.13287259914218522,13.621804347826085,65.70270869565218,-0.44609130434782607,-0.5951543478260869,-0.32003733680060925,4.52189815,3.2724003887000004,19.56,33.3,0.45,0.4175,-6.3635463607165335,0,0,0,0
2004,19.95591069958848,-0.05775437469573536,39.5033263093902,76.81612738095238,-0.6957419312169313,-0.4155065917107584,-0.23636492977383383,19.564005917874397,-0.07411774981937633,51.506103304787,84.30570520186336,-0.5831637422360249,-0.3682437758799172,-0.19737330088704202,20.89701058201058,-0.31672908555381013,30.922808201058203,85.91270740740741,-0.36515925925925924,0.041631481481481485,0.15631645068020047,20.799687909765357,-0.20011600169314886,29.983778079710145,81.2324097826087,-0.41883025362318843,-0.09753867753623188,0.059785773193916945,20.047841563786008,-0.22153074689245708,18.090557613168723,68.8958851851852,-0.1370148148148148,-0.22847037037037038,0.0023147246749034363,19.82292149758454,-0.1038711296933204,17.414025362318842,70.28444999999999,-0.25409130434782606,-0.289720652173913,-0.042115342250983095,4.164640374999999,2.93248415,14.74,24.52,0.44,0.435,-10.903677800235458,0,0,0,0
2005,20.159393827160493,0.12096293474031737,40.27756685839881,80.84089819223985,-0.0788866402116402,0.14853990299823636,0.3077769358310581,19.73195144927536,0.0717671333778297,53.47093815601669,87.26084862836439,-0.08205613354037267,0.05983786231884058,0.21172272897917405,21.125965718694882,-0.11520231854303448,47.15850011022928,80.14395925925926,0.2989074074074074,0.05156481481481482,0.15350700965812059,20.93891856452726,-0.08952955185893781,43.75305495169082,78.43879492753624,0.18713677536231882,-0.0680478260869565,0.07179613011762022,20.437074074074076,0.14415987633859415,11.992991769547325,62.85086666666667,-0.5806518518518519,-0.20851481481481482,-0.0033725081079047474,20.08678623188406,0.1355820305768008,11.852667874396136,66.4979543478261,-0.5836978260869565,-0.22258260869565216,-0.0024889998752699897,4.485734625,3.1253925393,4.11,9.672500000000001,0.49,0.5125,1.355451363039704,1,1,1,1
2006,20.175110171156007,0.1119134605998642,45.23621180789376,82.55775564373897,0.22503148148148147,-0.01942808641975308,0.11990431730896599,19.71904872364954,0.03680375954824555,58.88632214811155,88.65118266045548,0.2978212732919254,0.0012658126293995872,0.13416507095719138,21.09060335831864,-0.17799304859281173,42.305446979717814,88.29067777777779,0.37194814814814814,0.4366629629629629,0.5258623834508556,20.820788453243615,-0.23630386807027562,42.97152042356798,85.70995815217391,0.29529438405797104,0.27498940217391304,0.39735286385291774,20.282088477366255,-0.03436760742624042,27.364572016460905,78.50616296296296,0.5857407407407407,0.19812962962962963,0.37762914799817593,19.95087801932367,-0.024737756012981754,26.364512077294687,78.32321304347826,0.5771630434782609,0.1368641304347826,0.329446038152617,4.570853125,3.2954923012500004,11.15,10.83,0.46,0.465,-8.04764623406514,0,0,0,0
2007,20.05597911522634,-0.03198341346576739,53.841669528619526,85.88373064373899,0.9602347001763668,0.3685403218694885,0.4879680964941049,19.585596437198067,-0.11870917510698646,66.02560131752305,91.03640556418219,0.8337775103519668,0.4042907479296066,0.5182043979248567,21.593105746619635,0.29708097003465994,38.66294690623163,83.60686666666668,0.00878888888888889,0.18685185185185185,0.26330849798433115,21.379210058661148,0.29347353241956,38.050581327639755,81.31290326086956,0.051427355072463765,0.21022889492753621,0.31511186208096875,20.368425925925926,0.02842795407641582,11.95591769547325,64.9213925925926,-0.23421851851851852,0.009425925925925924,0.16328265595610847,19.866863526570047,-0.13316382279600075,11.775541062801931,67.72441304347826,-0.29389565217391306,0.03813152173913043,0.20320172835441705,4.9614886,3.7628370165,9.78,22.064999999999998,0.46,0.4275,-8.811113347067215,1,1,1,1
2008,20.053506140104755,-0.059222206723317225,46.44186845304901,79.88100079365078,0.1922870811287478,-0.30772220017636687,-0.20819905465585323,19.626533132960038,-0.09983312754877936,58.12156481664471,86.97192127329193,0.18470266563147,-0.14770728519668735,-0.05277924353397895,21.237789131393296,-0.08566401486520504,30.18040861992945,76.77721481481483,-1.0302814814814814,-0.7533203703703704,-0.6896064985933043,20.93420762163561,-0.18017310953366847,33.44604341356108,75.57947826086956,-0.7082902173913044,-0.5343672101449275,-0.4469647375170671,20.125051440329216,-0.23848841857730746,25.284522633744857,70.98524814814814,0.8201999999999999,0.07242777777777777,0.20064171946959655,19.807451690821257,-0.21698723257418906,22.513835748792268,72.80897391304347,0.5431347826086956,0.0038804347826086943,0.14143894029534754,4.221163525,3.156155418,12.66,46.15,0.45,0.375,-10.765469263767194,1,0,1,1
2009,20.638481729330337,0.500987564366308,36.64986887860083,74.27888315696649,-0.7846712522045856,-0.9237842151675485,-0.8441656987511377,20.27954688460694,0.5311199758943641,47.68673825483092,82.5328382505176,-0.8213924430641822,-0.7861598343685301,-0.7102174010383634,21.801658803644916,0.4507772877128839,29.044071208112875,78.57267777777778,-0.748962962962963,-0.47249814814814817,-0.42152705072649527,21.604075138026225,0.46105020192925195,28.47020175552105,75.3945338768116,-0.579615036231884,-0.42005307971014494,-0.3501311016078566,20.72490534979424,0.33782360383069837,21.73392181069959,65.04521481481481,-0.07400370370370371,-0.7650259259259259,-0.662454772572471,20.346497584541062,0.29764708711622195,19.43903381642512,66.96841739130434,-0.3552630434782608,-0.7842782608695652,-0.6742314564593741,3.7136686,2.71755053225,20.75,54.3925,0.4,0.32,-2.9712860774063867,0,0,0,0
2010,20.18686732603816,0.024607342938162472,46.06495834268612,84.56079501763669,0.2544611111111111,0.29160758377425045,0.35132147108655865,19.770731002964425,0.00024344604809085237,60.030577722880984,89.97155359730849,0.30479549689440993,0.014136128364389242,0.0710929533620143,21.1289995223398,-0.2493103632657588,50.92951940035273,89.21099629629629,1.0382777777777779,0.77855,0.8167783230662397,21.010975241545896,-0.16069389947877333,45.770512918391994,85.54457282608696,0.6680527173913043,0.47289682971014496,0.5253383132868612,20.726203703703703,0.31558007068314836,10.203769547325102,58.39616296296296,-0.8296666666666667,-0.3232851851851852,-0.24635682017009392,20.206771739130435,0.13350966767619796,10.75540579710145,63.51795869565217,-0.7068173913043477,-0.37281630434782614,-0.2902812010401828,4.512982525,3.2666883880999995,4.6,1.0399999999999998,0.5,0.5625,2.303264942363258,1,1,1,1
2011,20.005467774971944,-0.18155802626401912,49.0652088664422,81.05321723985891,0.6892313051146384,-0.15770462962962964,-0.11789537142142417,19.559203549077733,-0.23334465604236265,60.8023876317523,87.67564769668738,0.5635255175983437,-0.1285657608695652,-0.09059454420448186,21.761727623456792,0.3559893681777037,32.628973581716636,63.381588888888885,-1.1816407407407408,-1.0403962962962963,-1.0149107475854697,21.314473645617667,0.11416029966530679,36.400505801414766,66.40812826086957,-0.8911733695652174,-0.8111623188405798,-0.7762013297894355,19.92408436213992,-0.5100811579376526,21.139465020576132,73.21468518518519,0.19472962962962967,0.14588333333333334,0.19716891001006084,19.60281280193237,-0.4948608435512654,18.59684661835749,73.57847608695651,0.026991304347826088,0.07987934782608695,0.13490275003118252,4.293916575,3.36780078825,12.84,34.215,0.44,0.375,-2.8053538994713345,1,0,1,1
2012,20.233079896184062,0.02128827681213838,51.14826429105874,82.67694153439153,0.6444652557319224,-0.17357444885361553,-0.1536698197495128,19.7534255187747,-0.0611833345491534,64.10939824330259,88.71775295031055,0.6827389233954451,-0.18094820134575568,-0.161962593013214,21.379471046443268,-0.053695578509346115,35.59327502204586,81.72744074074073,-0.3753518518518518,-0.7375314814814815,-0.7247887071260684,21.18234974551415,-0.04660780536590712,35.20501093426501,80.01408532608696,-0.4557675724637681,-0.7374908514492754,-0.7200103569237032,20.619125514403294,0.16141810726870698,15.4349670781893,68.34776666666666,-0.22652962962962964,-0.08313148148148149,-0.05748869314311773,20.209951690821256,0.08786647130822771,16.15325966183575,70.86499565217392,-0.1972782608695652,-0.18514673913043478,-0.15763503802788703,4.7413227,3.4520798495,11.65,29.6625,0.45,0.405,-0.7078574900339071,0,0,0,0
2013,19.917249424803593,-0.31930801270429704,46.44678556864946,83.33001005291005,0.2544791446208113,0.11844634038800705,0.11844634038800705,19.550086256587615,-0.2865832449400022,58.833988993192804,89.12434751552796,0.2730622929606625,-0.007283048654244308,-0.007283048654244308,21.158799639917696,-0.3017953547084465,45.5058144473839,89.2849925925926,0.4681222222222222,0.17173518518518519,0.17173518518518519,21.140432496549344,-0.11716925925840395,41.86798194875776,82.76620923913043,0.07157572463768115,-0.07025942028985507,-0.07025942028985507,20.06562757201646,-0.41562172217513954,23.19638888888889,75.48101111111112,0.5267037037037037,0.287687037037037,0.287687037037037,19.722263285024155,-0.42423350851827,22.11863647342995,76.18913695652174,0.3975391304347826,0.191775,0.191775,4.492827025,3.3812549992500003,6.25,9.125,0.48,0.4925,0.44850279996708275,0,0,0,0
2014,20.407978656939772,0.14665540129591545,41.229702127759076,81.31387156084656,-0.3318342592592593,0.028381327160493828,0.008476698056391112,19.96013022617479,0.10140007644341331,52.93116103151076,87.68518082298137,-0.35925364906832297,0.03624323240165632,0.017257624069114637,21.394490189594357,-0.09353317470531322,43.26728711052323,83.01343333333334,0.2171962962962963,0.24305740740740742,0.23031463305199418,21.01026591614907,-0.2759800445863733,47.160148852657,82.95882608695652,0.5300230072463767,0.4028359601449275,0.3853554656193554,20.29798148148148,-0.20680969976713404,20.849526748971194,70.89603333333334,0.5101111111111111,0.2756796296296296,0.25003684129126585,19.967219806763286,-0.20368856080853534,21.2178538647343,73.9144152173913,0.5785086956521739,0.27472934782608693,0.24721764672353916,4.29851355,3.1643118246,5.02,12.754999999999999,0.49,0.47250000000000003,3.3735329708670436,0,0,0,1
2015,20.89867994762439,0.6125908738445754,40.414182103441824,76.12616009700177,-0.3157602733686067,-0.26523595679012346,-0.30504521499832893,20.542064498243302,0.6612737003081639,49.333836596947734,83.1583237836439,-0.6036620859213251,-0.26236287525879914,-0.30033409192388255,21.371638852145797,-0.14381288182740096,35.44602891681364,83.16518518518518,-0.6193222222222222,-0.5230037037037037,-0.5484892524145302,21.248760912698412,-0.06612925296472272,37.065362405106974,79.39263152173913,-0.5109619565217391,-0.4468085144927536,-0.4817695035438978,20.962279835390948,0.43394676708531615,22.61451851851852,68.92633333333333,0.24928148148148147,-0.051259259259259254,-0.10254483593598678,20.700539855072464,0.5052199134712478,22.31219202898551,71.00729565217391,0.23315869565217393,-0.12552391304347826,-0.18054731524857381,3.723000775,2.933772935,23.26,46.47,0.4,0.3225,5.220163821141764,1,1,1,1
2016,20.340502539281708,0.029647647365925595,38.06925572858212,80.21549634038801,-0.532941049382716,0.1604630070546737,0.10074911974236554,19.986081562911725,0.08323011677282682,51.90538126097936,87.11137673395444,-0.2755259575569358,0.19634319358178054,0.13938636858415548,21.946236662257498,0.4033565586107699,43.5714942680776,87.82362592592592,0.3690925925925926,0.07916481481481481,0.04093649174857515,21.650142188578332,0.3066078179875003,43.70476166752933,86.20081739130434,0.34739275362318844,0.11986902173913044,0.06742753816241416,20.84734156378601,0.29546660842336336,14.721965020576132,63.13337777777778,-0.4935444444444444,-0.4133148148148148,-0.4902431798299061,20.51846618357488,0.29873466794426734,13.964698067632849,66.75946086956522,-0.5762804347826087,-0.2808152173913044,-0.3633503206989476,4.074059725,2.8349724492,6.05,3.9975,0.48,0.505,3.1960481589005956,1,1,0,1
2017,20.53295706135428,0.1973363513025388,48.901941488963715,81.01077813051145,0.2917417107583774,-0.34480348324514987,-0.4244219996615608,20.121966825867368,0.19705473152470934,61.23530677975406,87.56567722567289,0.2848406314699793,-0.17673558488612837,-0.2526780182162951,21.95165443121693,0.3813459578966779,32.60868518518518,77.05827777777777,-0.522874074074074,-0.5554962962962963,-0.6064673937179491,21.497582405969634,0.1254038304511109,37.76038539510007,77.07549456521738,-0.19734963768115943,-0.16436385869565215,-0.23428583679794052,20.310539094650206,-0.2648777477694547,17.462991769547326,68.56571851851852,0.36955185185185185,-0.135,-0.23757115335345502,20.154545893719806,-0.08959719594020103,17.116142512077296,71.66061739130434,0.32400869565217394,-0.056201086956521734,-0.16624789136671284,4.35175555,3.3886012525,11.84,28.72,0.45,0.405,8.599653283873684,1,1,0,1
