year,t_spring_aoi,t_dt_spring_aoi,rain_spring_aoi,wsi_spring_aoi,spi_spring_aoi,z_spring_aoi,z_dt_spring_aoi,t_spring_nat,t_dt_spring_nat,rain_spring_nat,wsi_spring_nat,spi_spring_nat,z_spring_nat,z_dt_spring_nat,era5_nat,era5_aoi,asi_nat,asi_aoi,mvhi_nat,mvhi_aoi,prod_anom,impact,impact_cerf,impact_emdat,impact_plus_undated
2001,17.10868888888889,3.1071806012506027,6.038955555555555,57.16071999999999,-1.6506399999999999,-1.0705,-1.2480400541125543,14.019649918300654,2.3624472619910506,9.316170751633987,63.70678823529412,-1.140139705882353,-0.6953970588235294,-0.33534620527315734,0.7982826533333333,0.7052998891333334,80.59,92.538,0.26,0.22400000000000003,-48.74059032749932,0,0,0,0
2002,14.907133333333334,0.8062990187590202,17.51048888888889,82.304,0.32568,0.71468,0.5519349503968254,13.266758169934642,1.5146065116786032,15.06882026143791,74.84631470588235,0.14875735294117648,-0.20889632352941176,0.121150292225096,1.3864845,1.933005702,15.62,0.9200000000000002,0.5,0.5660000000000001,-16.0571176645031,0,0,0,0
2003,12.588177777777778,-1.6119825637325629,20.563177777777778,85.56924,1.10016,0.51676,0.36880995490620494,11.357460784313725,-0.48963987588874536,19.893272875816994,77.40730294117647,0.7194867647058824,-0.31886323529411764,-0.018820857335474218,1.67458215,2.351395426666667,3.88,0.06799999999999999,0.6,0.6799999999999999,5.966263016694754,0,0,0,0
2004,14.942288888888887,0.6428025204425204,8.824355555555556,65.74236,-0.94528,0.19902000000000003,0.0658649594155844,14.248559640522876,2.3065099783739704,6.723933823529412,56.78573382352941,-1.6699073529411765,-0.07456911764705883,0.19546902251572026,0.9732798466666667,1.3058081533333334,32.67,37.272,0.4,0.372,-29.045028142345718,0,0,0,0
2005,14.275644444444444,-0.12316795093795037,14.481622222222223,71.92623999999999,0.07668,0.21094,0.09257996392496387,11.052977124183007,-0.9840215399123321,16.470952614379083,75.82260294117647,0.15883382352941178,-0.584627205882353,-0.34459330351543815,1.9390088666666667,1.7991798159999999,0.79,0.8220000000000001,0.55,0.538,23.55896187306037,0,0,0,0
2006,15.979533333333332,1.481394911014912,9.36608888888889,71.32036000000001,-0.27104,-0.09058000000000001,-0.19414503156565657,13.77032843137255,1.6383807653307767,9.961174836601307,68.67976911764706,-0.37793823529411763,0.0680404411764706,0.278070105747521,0.9896510466666667,1.1533193150666667,38.79,31.889999999999997,0.37,0.372,-4.9159805278653534,1,1,1,1
2007,15.239444444444445,0.6419799951899957,17.687333333333335,77.23744,0.7794,0.356,0.2672299729437229,12.803095588235294,0.5761989202470876,19.60553431372549,71.77629705882353,0.8593941176470589,-0.016669852941176483,0.16335557383400956,1.5061094700000002,1.57838967,42.47,34.144,0.37,0.394,23.828366087876287,0,0,0,1
2008,17.187911111111113,2.4911206349206356,6.613533333333334,57.60684,-1.9159599999999997,-1.29762,-1.3715950225468976,14.065072712418301,1.7432270424836602,10.185494689542484,61.60039705882353,-1.2611294117647058,-0.6330625000000001,-0.4830413110206783,0.9508211900000001,0.8865502946666666,82.18,96.232,0.22,0.162,-29.211621646000385,1,0,1,1
2009,14.271244444444445,-0.5248720586820574,26.915133333333337,89.05856,1.47128,0.65492,0.5957399819624819,11.750517156862745,-0.6662775150183291,21.24072630718954,82.29981911764706,0.7593676470588235,-0.019961029411764704,0.10005592177169266,1.9370726999999999,2.66663518,0.63,0.6279999999999999,0.69,0.692,33.626066139437235,0,0,0,1
2010,16.041155555555555,1.1457130254930248,13.92831111111111,78.63368,0.5618000000000001,0.8798600000000001,0.8354749864718615,14.064289624183006,1.5525459503554986,13.411217728758169,69.1639838235294,0.05659558823529412,0.6231941176470589,0.7132068310346518,1.3869839,1.7774343,5.06,0.628,0.57,0.572,16.98656691049614,1,0,1,1
2011,15.518088888888888,0.5233203318903318,9.699377777777778,63.140480000000004,-0.3424,-1.1382400000000001,-1.167830009018759,13.118346813725491,0.511654137951548,10.404960784313726,66.40760294117646,-0.15404411764705883,-0.5618661764705882,-0.5018577008788595,1.0470571499999999,0.9802337606666668,48.65,60.124,0.35,0.3,-14.40593427590096,0,0,0,0
2012,14.06391111111111,-1.0301834728234716,14.950044444444444,75.55519999999999,0.016159999999999997,-0.35056000000000004,-0.3653550045093795,11.143220588235295,-1.5584210894850816,13.987905228758171,73.99644411764706,-0.20013676470588238,-0.6897286764705882,-0.6597244386747239,1.4475569666666666,1.8381445646666668,9.86,7.587999999999999,0.51,0.504,24.92307921895731,0,0,0,0
2013,14.362977777777777,-0.8304428330928332,13.255222222222221,71.49947999999999,0.02787999999999998,0.56162,0.56162,11.999511437908497,-0.797079241758313,15.933166666666667,76.88915735294118,0.5371014705882353,0.19343529411764707,0.19343529411764707,1.4130132333333334,1.558164432,3.41,5.1899999999999995,0.58,0.554,25.261437451542307,0,0,0,0
2014,14.257044444444443,-1.035702193362193,18.871288888888888,72.08792,0.4692,-0.5682,-0.5534049954906204,11.343388480392157,-1.5481512012210867,23.989172385620915,80.03158676470588,0.68445,-0.4900676470588235,-0.5200718848546879,2.1796513,2.3166451266666663,8.31,14.986,0.54,0.45999999999999996,27.52851169441603,0,0,0,0
2015,14.613577777777778,-0.7784948869648864,14.945755555555555,73.10835999999999,0.75408,0.48812,0.517710009018759,12.289841911764706,-0.6966467717949715,14.481363970588236,75.4066367647059,0.41539264705882356,0.1332985294117647,0.07329005382003602,1.5376042333333333,1.664486484,3.22,1.916,0.55,0.534,8.794378797972144,0,0,0,0
2016,15.984466666666666,0.49306797498797544,17.939799999999998,71.13332,0.08152000000000001,0.8623999999999998,0.9067850135281386,13.381665441176471,0.30022775567035936,22.190855800653594,76.31956470588236,0.4335176470588235,0.8256088235294117,0.7355961101418187,2.076378033333333,2.1980296453333334,2.66,3.034,0.57,0.5599999999999999,4.008281278798313,0,0,0,0
2017,15.478799999999998,-0.11192471861471773,11.681911111111111,73.17944,0.53652,-0.25754,-0.19835998196248195,13.52745955882353,0.35107287137098453,10.260817401960784,67.15825882352941,-0.09505,-0.010241911764705883,-0.13025886294816327,1.1875332,1.3237342920000001,11.34,9.2,0.47,0.44800000000000006,-4.100914277666994,0,0,0,0
