year,t_JAS_aoi,t_dt_JAS_aoi,rain_JAS_aoi,wsi_JAS_aoi,spi_JAS_aoi,z_JAS_aoi,z_dt_JAS_aoi,t_JAS_nat,t_dt_JAS_nat,rain_JAS_nat,wsi_JAS_nat,spi_JAS_nat,z_JAS_nat,z_dt_JAS_nat,era5_nat,era5_aoi,asi_nat,asi_aoi,mvhi_nat,mvhi_aoi,prod_anom,impact,impact_cerf,impact_emdat,impact_plus_undated,bad_year
2001,30.644664902998233,0.19779766997650425,35.766878306878304,75.23646666666667,0.5121111111111111,0.27074444444444445,0.6082715022015022,30.602444444444444,0.04104903814570925,29.489253677893924,64.69367804878048,0.1574341463414634,-0.018287407407407405,0.27706052469489,0.40021541,1.6589947333333335,1.36,0.07,0.58,0.58,-12.296981305436331,0,0,0,0,1
2002,32.077029982363314,1.6212397477889537,25.89319929453263,48.735933333333335,-0.8433111111111111,-1.5407333333333333,-1.2313335303893638,31.808363917924897,1.2387097612511593,20.284988095238095,41.15144390243903,-1.2120439024390244,-1.3664851851851851,-1.0957495807580793,0.17873233999999996,0.7844705566666667,60.73,63.43,0.33,0.33,-54.33243035410631,0,0,0,0,1
2003,29.808913580246912,-0.6557996558800789,37.76767901234568,76.67406666666666,0.9348666666666667,-0.1533111111111111,0.12796143701977036,29.96528435927216,-0.6126285477765699,34.027768921796365,72.41729268292683,0.8600536585365853,-0.25968814814814817,-0.013564871396233625,0.8022075766666666,3.2860823000000003,0.46,0.0,0.66,0.675,30.50688113145753,0,0,0,0,0
2004,30.262992945326275,-0.21064329235334453,30.29216225749559,72.23746666666666,-0.09748888888888889,0.026444444444444444,0.2795897377622377,30.59178474641889,0.005613088995159868,25.33635593302362,61.28799024390244,-0.27430731707317074,-0.21382444444444443,0.0076865046322786255,0.3762560033333333,2.2690447,0.85,0.02,0.59,0.595,-63.259490069762506,0,0,0,0,0
2005,30.72073721340388,0.23817797417162526,34.81128395061728,61.93788888888889,0.3171333333333333,-0.0905,0.13451803850470517,30.7502095915602,0.1557791837614683,29.26032762291909,57.9988243902439,0.313790243902439,0.18397037037037037,0.380868991771902,0.5428025733333334,2.0615196333333334,0.36,0.0,0.59,0.585,23.079918075885423,0,0,0,0,0
2006,30.869698412698412,0.37821617191352686,20.936331569664905,52.38133333333334,-1.1012,-0.21321111111111113,-0.01632032741949409,30.82989890631049,0.22720974813675912,21.34208101045296,55.586404878048775,-0.5346390243902439,0.10811481481481483,0.28040110854115496,0.46357334,2.028423483333333,0.41,0.02,0.64,0.675,18.013492427800173,0,0,0,0,0
2007,30.053278659611994,-0.44712658272552414,34.053911816578484,74.85426666666666,0.21724444444444446,0.07096666666666668,0.23973019554519556,30.224628919860628,-0.3863189886881045,28.181001403406892,68.95135121951219,0.14513658536585364,-0.057628148148148144,0.09004581790300056,0.5175249233333333,2.9460433616666664,0.95,0.0,0.65,0.6699999999999999,17.8608907364327,1,1,0,1,1
2008,30.00941446208113,-0.4999137818090181,32.75314991181658,74.31102222222222,0.6260222222222223,0.46697777777777777,0.6076140518432185,30.353227642276423,-0.26597901664730883,26.269943186217578,65.87791707317074,0.33847804878048776,0.2107651851851852,0.33382682356114246,0.48296417666666674,2.4961996616666666,0.46,0.145,0.7,0.705,21.46156887877507,0,0,0,0,0
2009,30.33757319223986,-0.18067805320291835,34.32735273368607,77.54117777777778,0.6709111111111111,0.22115555555555558,0.3336645748079082,30.607418795973672,-0.02004661332505676,31.520262146728612,70.94206341463415,0.5810975609756097,0.0781688888888889,0.1766181995896547,0.4182445066666667,2.43402985,0.21,0.0,0.66,0.675,30.687872289231766,1,1,1,1,0
2010,29.833162257495587,-0.6940119894998185,44.20126807760141,83.98017777777778,1.337911111111111,0.6374666666666666,0.7218484311059311,30.14781663763066,-0.487907522043068,39.92293975029036,80.61463902439024,1.3564926829268293,0.373917037037037,0.4477540200626114,0.8387951366666666,4.332040083333333,0.03,0.0,0.76,0.78,58.296506571779794,1,0,1,1,0
2011,31.22842680776014,0.6923295592121015,24.910910052910054,48.04855555555556,-1.0969333333333333,-0.7716999999999999,-0.7154454903738237,31.316844221835076,0.6728613117863469,23.64355023228804,49.972395121951216,-0.5025560975609756,-0.5060488888888889,-0.456824233538506,0.34205311,2.1569306716666667,18.4,24.63,0.44,0.42,-59.23586451270929,1,1,0,1,1
2012,29.625932980599643,-0.9190872695010239,46.04015873015873,83.57811111111111,1.647911111111111,0.37821111111111105,0.40633836592419925,29.838007307394502,-0.8142343530292268,37.65897899728997,79.60857560975609,1.2914780487804878,0.5019155555555556,0.526527883230747,0.6948865933333334,2.7268215166666665,0.18,0.02,0.62,0.6,65.18212729514549,0,0,0,0,0
2013,30.452467372134038,-0.10147587951926379,39.52817107583774,71.77595555555556,0.7948222222222223,-0.1774888888888889,-0.1774888888888889,30.554145034843202,-0.10635537595552319,30.709370838172667,64.90857073170731,0.49363902439024393,0.24277703703703704,0.24277703703703704,0.56746672,1.9518277166666664,0.7,0.78,0.56,0.53,7.736528399543954,0,0,0,0,0
2014,31.3328024691358,0.7699362159298704,29.677447971781305,57.995266666666666,-0.5949777777777778,-0.5669222222222222,-0.5950494770353103,31.22011367595819,0.5513545147844605,24.179751064653505,51.43771219512195,-0.5584146341463414,-0.5475481481481481,-0.5721604758233396,0.3855444833333333,1.2842620416666668,2.03,0.82,0.55,0.55,-25.14851419072696,1,1,0,1,1
2015,30.85713580246913,0.28534654771057116,33.095301587301584,65.38857777777778,-0.12573333333333334,-0.07735555555555555,-0.13361006518173188,30.863546070460703,0.18652815891197708,29.441592382888114,61.29481951219512,-0.018078048780487792,0.0016585185185185197,-0.04756613683186439,0.5972607366666667,2.396597958333333,0.3,0.0,0.62,0.61,-13.339116743554143,0,0,0,0,1
2016,30.210426807760143,-0.3702854485510538,39.479716049382716,76.83451111111111,1.059688888888889,0.8039555555555555,0.7195737911162912,30.485636033681764,-0.19964062824196127,32.21350232288037,68.69,0.7453414634146341,0.4274525925925926,0.3536156095670182,0.5130606000000001,2.4281004999999998,0.35,0.02,0.71,0.735,-6.605041605266895,1,0,1,1,0
2017,31.32811463844797,0.7384793805841462,27.32174603174603,56.87884444444445,-0.26768888888888887,-0.23253333333333334,-0.34504235258568594,31.288401277584203,0.5948658652854777,21.684645470383273,49.44917073170731,-0.3673219512195122,-0.5341385185185185,-0.6325878292192844,0.31875716,1.3510672983333334,7.46,5.88,0.51,0.505,-35.58225477435067,1,1,1,1,1
2018,30.661215167548498,0.06265690813204433,33.87870194003527,65.11406666666667,0.06013333333333332,-0.09796666666666666,-0.2386029407321074,30.600392373209445,-0.10140178946427963,31.340541618273324,57.51876585365854,0.27181951219512196,-0.3280059259259259,-0.45106756430188316,0.5102378733333334,2.0623275,1.34,0.145,0.69,0.7,-0.6418590960203066,0,0,0,0,0
2019,31.70643209876543,1.098950837796343,22.364275132275132,37.443555555555555,-1.6356666666666666,-1.4108,-1.5795635288785288,31.38746496322106,0.677412050172335,20.62021849593496,41.94836585365854,-1.2792634146341462,-0.8799081481481481,-1.027582114199297,0.5174391033333333,2.261099106666667,13.16,15.39,0.46,0.435,-15.497903965253567,1,0,1,1,1
2020,30.466622574955906,-0.14978168756581153,44.79667019400353,78.67895555555555,1.027511111111111,0.2306111111111111,0.03372032741949407,30.584848335269065,-0.13346332815465825,37.24917571622145,70.23650243902438,0.8463219512195121,0.2995888888888889,0.12730259516254872,0.4843659433333333,2.7297976666666663,0.51,0.07,0.73,0.73,4.550262487499577,0,0,0,0,0
2021,31.465955908289246,0.8406286442148918,30.251005291005292,60.7383111111111,-0.14257777777777778,-0.46721111111111113,-0.6922291496158163,31.406900358110722,0.6803299443119994,28.478311798296556,59.83993170731707,0.14466829268292683,-0.18270666666666666,-0.3796052880681983,0.29007875,1.681288315,5.23,3.53,0.54,0.535,-40.69905592514383,0,0,0,0,1
2022,29.69626278659612,-0.9379874790308591,41.79038624338624,76.70211111111112,1.049488888888889,1.1021888888888889,0.8490435955710957,29.96744071815718,-0.7673884460165418,32.24957936507936,67.60580487804879,0.6382780487804878,0.9307725925925925,0.7092616435158695,0.6183695,2.7232515999999998,0.55,0.07,0.8,0.815,33.06085948866744,0,0,0,0,0
2023,31.257973544973545,0.6148002777939349,31.1383721340388,64.65848888888888,0.3805111111111111,0.5848,0.30352745186911856,31.506355400696865,0.7632674861481414,28.78836928958575,62.5571756097561,0.5069073170731707,0.5265385185185185,0.280415241766604,0.30146673,2.05003709,0.8,0.17,0.65,0.665,-4.876589245464979,0,0,0,0,0
2024,30.195663139329806,-0.45643312940243735,43.164130511463846,72.66646666666666,0.4121555555555555,0.43853333333333333,0.12913353038936373,30.36931421796361,-0.3820324469601144,34.63792150600078,64.02163902439025,0.4240048780487805,0.37733555555555554,0.10659995112844957,0.697565522,2.890717575,0.55,0.045,0.73,0.725,19.269287434034034,0,0,0,0,0
2025,29.74985008818342,-0.9111691821014511,28.09135978835979,64.21466666666667,-0.22193333333333337,0.8398333333333333,0.5023062755762755,30.08219071815718,-0.6774146971415403,26.724154374758033,60.80189756097562,0.062414634146341456,0.6155274074074074,0.32017947530511,0.48223587333333334,2.8328154666666667,0.4,0.02,0.77,0.785,,0,0,0,0,0
