year,t_primera_aoi,t_dt_primera_aoi,rain_primera_aoi,wsi_primera_aoi,spi_primera_aoi,z_primera_aoi,z_dt_primera_aoi,t_primera_nat,t_dt_primera_nat,rain_primera_nat,wsi_primera_nat,spi_primera_nat,z_primera_nat,z_dt_primera_nat,t_postrera_aoi,t_dt_postrera_aoi,rain_postrera_aoi,wsi_postrera_aoi,spi_postrera_aoi,z_postrera_aoi,z_dt_postrera_aoi,t_postrera_nat,t_dt_postrera_nat,rain_postrera_nat,wsi_postrera_nat,spi_postrera_nat,z_postrera_nat,z_dt_postrera_nat,era5_nat,era5_aoi,asi_nat,asi_aoi,mvhi_nat,mvhi_aoi,prod_anom,impact,impact_cerf,impact_emdat,impact_plus_undated,bad_year
2001,23.06754166666667,0.023324171335206145,37.356125000000006,87.02914285714286,-1.2805,-1.1823928571428572,-0.8130148809523811,23.84476470588235,-0.29725807886589806,60.71209803921568,94.70503361344538,-0.7137226890756302,-1.0002899159663865,-0.8510204262721132,21.019222222222222,-0.5703509700176337,30.772,88.1978,-0.8119000000000001,-1.27885,-0.9658376050420169,22.157045751633987,-0.5114643325933687,64.01352941176471,96.88901176470588,-0.19689411764705883,-0.745970588235294,-0.5516051999148184,4.665589649999999,3.8038376625000003,4.18,11.504999999999999,0.51,0.47,8.695625257565883,1,0,1,1,0
2002,22.710250000000002,-0.3624891456582606,49.28095833333333,87.4625,0.40221428571428575,-0.5802857142857143,-0.2416892361111111,24.175696078431372,-0.005175932345239975,60.50177450980392,91.6488319327731,-0.19043697478991597,-0.4339831932773109,-0.29715282772422696,21.91561111111111,0.2924243386243397,31.034388888888888,87.3685,-1.2105,-0.51035,-0.22342197128851543,22.87388888888889,0.1690645589909321,53.0420522875817,95.44843529411764,-0.8126588235294117,-0.36635882352941174,-0.18819055090230902,5.904735925,5.902518825,2.34,5.345000000000001,0.5,0.44499999999999995,8.828768497347033,0,0,0,0,0
2003,23.19533333333333,0.09407253734827314,55.186375,94.32300000000001,0.5332142857142856,-0.5545714285714285,-0.2467564484126984,24.330225490196078,0.11050425339110458,65.05907843137254,97.40725210084032,-0.07354621848739498,-0.19103361344537814,-0.06664237203348362,22.19188888888889,0.5350885361552056,44.780277777777776,94.25900000000001,-0.3159,-0.17,0.09084366246498593,22.988307189542486,0.24716861397392514,71.25987581699347,98.56083529411765,-0.29505882352941176,-0.0213529411764706,0.1406182157572592,5.57695595,5.4955895749999994,6.4,1.085,0.51,0.505,4.732669061911904,0,0,0,0,0
2004,23.210083333333333,0.08030088702147786,34.79570833333334,94.72485714285715,-0.8552142857142857,-0.8372142857142857,-0.5601808035714286,24.07177941176471,-0.18679105106862856,54.62409803921569,98.36144537815126,-0.4571260504201681,-0.15807142857142856,-0.04611931130072349,22.44338888888889,0.7529749559082912,36.30716666666667,88.0467,-0.6391,-0.9928,-0.7580407037815127,23.130738562091505,0.35328574085234243,53.51351633986928,97.23456470588235,-0.848,-0.2813235294117647,-0.1355494881714079,5.475964425,3.9827243375,10.16,27.395,0.48,0.42000000000000004,-8.403434599124635,1,0,1,1,0
2005,23.273500000000002,0.11519590336134833,82.12525000000001,98.49464285714285,1.8555,0.5683571428571428,0.8146091269841269,24.453279411764708,0.1558597229030107,85.92739705882353,98.94603361344538,1.1424033613445377,0.31337394957983195,0.41288694270934756,21.322111111111113,-0.40191640211640056,57.31333333333334,99.0709,0.6415,0.4865,0.6951749299719887,22.52408496732026,-0.28968209958950114,87.85352287581699,99.23271764705883,0.7023647058823529,0.07587647058823528,0.2054533961352191,7.97034575,8.2153247375,0.01,0.0,0.58,0.5800000000000001,-5.457206031617967,0,0,0,0,0
2006,23.47458333333333,0.2877575863678796,48.908208333333334,95.857,0.2860714285714286,-0.6994642857142856,-0.48399379960317457,24.254509803921568,-0.08175911096848827,75.93538725490195,98.2009243697479,1.020798319327731,-0.16454621848739495,-0.07747234949906878,22.075388888888888,0.3177477954144621,39.56377777777778,89.0471,-0.7615,-0.62885,-0.4462594362745098,23.017856209150327,0.1677748965699624,56.93192156862745,97.94671764705882,-0.6305882352941177,0.041970588235294135,0.15535039808890497,6.3791967750000005,5.4149246625,0.0,0.0,0.58,0.55,-6.335016446922172,0,0,0,0,0
2007,23.367624999999997,0.15227760270775015,51.125,96.09864285714286,-0.08757142857142856,0.17585714285714285,0.3605461309523809,24.327882352941177,-0.047235787977240644,62.39099019607843,96.51160504201681,-0.5261596638655462,-0.17834873949579833,-0.1037139946486616,21.01061111111111,-0.7806435626102264,51.358000000000004,97.7402,0.4963,0.16105,0.3175561974789916,22.26593464052288,-0.6204609177280908,77.36892156862746,98.55523529411765,0.43975294117647057,-0.046464705882352936,0.05071798827788493,5.600701,5.8564369,0.27,0.16,0.54,0.54,14.422951078783477,0,0,0,0,0
2008,23.12875,-0.11511904761904646,58.32320833333333,90.09649999999999,0.2735,-0.7472857142857143,-0.5933782242063492,24.126480392156864,-0.28748697478991614,74.90766666666666,96.37226050420168,0.6042268907563024,-0.28878151260504203,-0.22658589189909478,21.152833333333334,-0.6720349206349194,79.90211111111111,95.9085,1.729,-0.30045,-0.17002816876750704,22.24045751633987,-0.6822522875817001,99.60254901960785,98.3289882352941,1.369964705882353,-0.41369999999999996,-0.33271442153313513,6.207448525,5.9390669,0.08,0.33,0.59,0.595,-4.055217083818889,0,0,0,0,0
2009,23.040416666666665,-0.2319740312791776,59.67933333333333,96.76742857142855,1.028,0.2637857142857143,0.38691170634920635,24.325656862745095,-0.12715973023004132,66.83955392156862,97.98115126050419,0.19557983193277312,0.27349999999999997,0.3232564965647578,22.477055555555555,0.6185737213403879,23.716055555555556,74.8276,-1.8237,-0.2143,-0.1099625350140056,23.415339869281045,0.45631581968887586,48.276869281045755,95.22008235294118,-1.4203764705882354,0.11898235294117647,0.18377081571466838,5.89222505,5.8534803125,0.57,0.975,0.53,0.51,2.3149059561607115,1,1,1,1,1
2010,23.0295,-0.2714123482726425,98.95741666666667,99.51135714285715,2.1974285714285715,0.8445714285714285,0.9369159226190477,24.502470588235294,0.01080476923179277,104.41537254901961,99.6347899159664,1.8686470588235293,0.6286176470588236,0.6659350194823919,21.19483333333333,-0.6972620811287484,48.18816666666667,98.21100000000001,0.8906000000000001,0.6174999999999999,0.6957530987394958,22.51014379084967,-0.48519450441309997,63.28983660130718,98.3364705882353,0.3467764705882353,0.16498235294117647,0.2135737000212954,8.543385950000001,9.2817066625,0.01,0.0,0.62,0.645,-3.864302251788396,0,0,0,0,0
2011,23.165125,-0.1643089985994397,71.36283333333334,97.78128571428572,1.2943571428571428,0.4333571428571429,0.4949201388888889,24.448622549019607,-0.08189249601225429,81.39933333333335,97.9921680672269,0.8241344537815126,0.0906890756302521,0.11556732391263101,21.231555555555556,-0.694153439153439,64.45477777777778,97.579,0.9771000000000001,0.5599000000000001,0.6120687324929972,22.532013071895424,-0.4996394690379501,80.31524836601308,98.82281176470589,0.7471529411764706,0.1469470588235294,0.17934129021027537,6.95166035,7.263989775000001,0.06,0.0,0.6,0.635,-5.6243768701822425,0,0,0,0,0
2012,22.888958333333335,-0.4689973155929046,63.519333333333336,97.5287142857143,0.6890714285714286,0.7766071428571429,0.807388640873016,24.217759803921567,-0.3516044671386542,75.18611764705882,98.42157983193277,0.45161344537815123,0.6312689075630251,0.6437080317042146,21.560499999999998,-0.39882257495590956,37.73822222222222,94.6489,-0.10979999999999998,0.51445,0.5405343662464985,22.47297385620915,-0.5949929303948265,56.24288235294118,97.75075294117647,-0.2023529411764706,0.3616705882352941,0.3778677039286671,6.4704525,6.52411765,0.1,0.0,0.56,0.57,-10.204332604959722,1,0,1,1,0
2013,23.293750000000003,-0.09272729925303302,55.25175,96.8425,0.15507142857142855,0.1953214285714286,0.1953214285714286,24.32978431372549,-0.27842918336309225,69.39124509803922,98.5696218487395,0.2526218487394958,0.022605042016806718,0.022605042016806718,22.16327777777778,0.17034162257495744,68.72066666666666,96.89099999999999,1.1152,0.3445,0.3445,23.211313725490196,0.10703269321561744,80.9292091503268,99.08092941176471,0.4190823529411765,0.04285294117647059,0.04285294117647059,5.974883,4.8874479375,0.41,0.1,0.55,0.5700000000000001,0.4843211283184621,1,0,1,1,0
2014,23.45041666666667,0.035417717086835054,36.11383333333333,83.33614285714285,-1.1567142857142858,-0.9960714285714286,-1.0268529265873017,24.553583333333332,-0.0934793897836114,54.12781862745098,94.97678991596638,-0.9248571428571429,-0.28494117647058825,-0.29738030061177767,21.467888888888886,-0.5586608465608478,44.773666666666664,84.4375,-0.0226,-0.9252,-0.9512843662464986,22.749398692810455,-0.39119658513472316,79.34237908496732,95.88396470588235,0.32524705882352944,-0.3620941176470588,-0.3782912333404318,5.0904505,4.5232131375,2.11,4.5600000000000005,0.51,0.485,-7.626280231779681,1,1,0,1,1
2015,23.445666666666668,0.0021460667600372574,33.890166666666666,81.12692857142858,-0.3153571428571429,-0.37210714285714286,-0.43367013888888895,24.83752450980392,0.15161256065861545,41.217176470588235,90.84208403361345,-1.076983193277311,-0.7979285714285714,-0.8228068197109504,22.62627777777778,0.5661144620811278,50.645111111111106,77.15350000000001,-0.2917,-0.4665,-0.5186687324929972,23.83351633986928,0.6566068162534985,70.27623529411764,91.5113294117647,-0.42987058823529406,-0.7088117647058824,-0.7412059960926284,5.04831505,4.4679848374999995,7.63,7.43,0.46,0.45,1.3287698903545122,1,1,0,1,1
2016,23.916249999999998,0.44420774976657285,53.39179166666667,91.25800000000001,-0.07642857142857144,0.4271785714285714,0.3348340773809524,24.98964705882353,0.26488588364986315,61.85496568627451,96.49881512605042,-0.4587983193277311,-0.11593277310924371,-0.15325014553281205,22.064500000000002,-0.029276895943560532,46.999111111111105,93.93889999999999,0.47229999999999994,0.42624999999999996,0.3479969012605042,23.083098039215685,-0.13012573007069778,61.031254901960786,98.29381176470588,-0.3461764705882353,0.09695294117647058,0.04836159409635165,5.4777914249999995,5.2668130875,0.9,0.34,0.52,0.55,-0.06750633369233912,0,0,0,0,0
2017,23.178166666666666,-0.32239723389355746,56.617041666666665,97.65607142857142,0.4462857142857143,0.5185,0.39537400793650795,24.638049019607845,-0.1255613815941837,80.27724509803922,98.96989075630253,0.9890420168067228,0.3332310924369748,0.28347459587221696,21.847833333333334,-0.2795571428571435,62.836388888888884,96.9312,0.9066999999999998,0.4891,0.38476253501400565,23.07043137254902,-0.17910664240796675,78.36895424836601,99.09364705882352,0.4495411764705882,0.39094705882352937,0.3261585960500375,6.86727685,6.8218930625,0.02,0.0,0.61,0.625,6.6673072730182374,0,0,0,0,0
2018,23.036125,-0.4929605508870232,48.42470833333333,92.08164285714287,0.3454285714285714,0.16760714285714284,0.013699652777777765,24.44753431372549,-0.35492531350489853,57.0377794117647,96.00027731092437,-0.1806890756302521,0.15526470588235294,0.09306908517640568,22.00794444444444,-0.1530596119929477,49.83416666666666,86.0624,0.0895,-0.08265000000000003,-0.21307183123249301,23.337934640522878,0.0520823798952875,57.547117647058826,95.06211764705883,-0.6042,-0.09670588235294118,-0.17769146081980608,5.547131575,5.3956923125,1.62,1.765,0.54,0.54,8.06777137945982,1,0,1,1,1
2019,24.019833333333334,0.46222613211951646,26.027583333333332,86.21742857142857,-1.646,-0.2646071428571429,-0.44929613095238097,25.292029411764705,0.45072055850595555,45.618598039215684,94.41981512605042,-1.339235294117647,0.11540336134453781,0.0407686164974011,22.603833333333334,0.40921569664903146,35.040388888888884,72.3327,-1.1846,-0.81125,-0.9677561974789916,23.696640522875814,0.37447401657762674,55.91564052287582,92.51097647058823,-0.8531529411764707,-0.18150588235294118,-0.278688576513179,4.71634205,4.34366535,7.59,9.675,0.5,0.46499999999999997,-8.049282920781737,0,0,0,1,0
2020,23.566916666666668,-0.0192121848739486,55.054125,96.4887142857143,0.26835714285714285,0.13407142857142856,-0.08139905753968255,24.90423039215686,0.0240723128697528,68.87225490196079,97.99446218487394,-0.0004705882352941262,0.10194537815126052,0.014871509162934345,22.263222222222225,0.034991005291006516,107.9901111111111,98.4297,1.6520000000000001,0.3166,0.13400943627450984,23.43918954248366,0.0807087905148685,144.54012418300655,99.33904705882352,1.7590000000000001,0.23958823529411766,0.1262084254405068,6.41571685,6.4388540625,0.79,0.645,0.57,0.595,-0.5991618887256674,0,0,0,0,0
2021,23.88554166666667,0.27089116479925224,34.42704166666667,77.64435714285713,-0.9402857142857142,-0.43078571428571427,-0.6770376984126985,25.008686274509806,0.08967896919433282,56.08105882352942,93.52070588235293,-0.6638655462184875,0.04733193277310925,-0.05218106035640637,22.603833333333334,0.34198853615520086,32.94327777777778,82.9075,-0.8110999999999999,-0.26855,-0.47722492997198873,23.485424836601307,0.09062983896191291,44.59155555555555,95.84115294117647,-1.1619882352941175,0.028270588235294117,-0.1013063373116897,5.1377063,4.6161855375,3.78,6.26,0.52,0.495,-1.2892132471608762,0,0,0,0,0
2022,22.88675,-0.7564221521942116,50.728624999999994,98.4485,0.07828571428571429,0.6307142857142857,0.35368080357142856,24.319485294117644,-0.6383712372261859,70.70316666666666,99.32771428571428,0.3561344537815126,0.24704201680672266,0.13508989953601763,22.072499999999998,-0.22295837742504432,42.961277777777774,97.69820000000001,-0.1449,0.67035,0.43559070378151266,23.381751633986926,-0.04935760932306783,72.12858169934641,99.32050588235293,0.3695764705882353,0.26485882352941176,0.11908478228905496,6.847880925,6.9611699,0.8,1.18,0.57,0.5800000000000001,-1.5987823365488916,1,0,1,1,0
2023,24.164416666666668,0.4927228641456587,39.890166666666666,96.67949999999999,-0.4912142857142857,0.663,0.3551850198412698,25.597367647058825,0.60066188968663,56.98211764705883,97.68771428571428,-0.6705882352941177,-0.0010084033613445402,-0.12539964477323906,23.00311111111111,0.6740391534391517,44.04672222222222,88.9367,-0.5041,0.42805,0.16720633753501404,24.15475163398693,0.6873281450063302,69.50613725490196,97.72929411764706,-0.3639176470588235,0.24187058823529414,0.07989943130156434,5.12510365,5.1583983125,1.83,1.795,0.54,0.5449999999999999,4.73393289861625,0,0,0,0,0
2024,24.434875,0.7346595471521944,53.02941666666667,86.97178571428572,0.461,-0.29232142857142857,-0.6309179067460318,25.650838235294117,0.615283251893563,65.31822549019608,93.77408403361345,0.017537815126050432,-0.5216806722689076,-0.6585110378219915,22.57438888888889,0.2117033509700157,54.367444444444445,94.9059,-0.1269,0.23770000000000002,-0.04922802871148452,23.753647058823532,0.24990932417232933,85.9335294117647,98.11564705882353,0.053235294117647054,-0.0056588235294117665,-0.1838270961565145,6.6591359,6.698474075,1.11,1.6600000000000001,0.56,0.555,3.955854087037538,0,0,0,0,0
2025,23.718708333333332,-0.010028769841269991,44.19229166666667,93.51478571428572,-0.3637142857142857,-0.02385714285714285,-0.39323511904761904,25.1393431372549,0.0649389278259861,58.464642156862745,96.09378151260503,-0.2794285714285714,0.1739327731092437,0.02466328341497027,22.427888888888887,0.03158977072310343,67.804,94.7468,0.8732,0.12045,-0.19256239495798316,23.517496732026146,-0.02255524829565721,80.57298039215686,97.83531764705882,0.2369058823529412,0.26745882352941175,0.07309343520893602,5.128170175,4.4345377875,1.6,3.62,0.51,0.495,,0,0,0,0,0
