iso3,units,obs,loyo_t_dt,loyo_z_dt,loyo_rain,loyo_wsi,loyo_spi,loyo_asi,loyo_mvhi,r_t_dt,r_z_dt,r_rain,r_wsi,r_spi,r_asi,r_mvhi
AFG,32,725,0.144,-0.042,0.057,0.052,0.102,0.098,0.09,-0.414,0.06,0.302,0.301,0.367,-0.36,0.346
BFA,45,1031,-0.005,-0.021,0.014,0.001,0.001,0.003,0.006,-0.117,0.023,0.193,0.144,0.163,-0.146,0.165
ETH,43,731,-0.012,-0.014,-0.02,-0.03,-0.018,-0.039,-0.037,0.152,0.092,-0.101,0.042,-0.118,0.064,-0.042
KEN,47,964,-0.011,-0.004,-0.001,-0.016,-0.001,0.027,0.028,-0.086,0.105,0.11,0.03,0.111,-0.203,0.213
GTM,22,219,,,,,,,,,,,,,,
SLV,28,278,-0.094,0.04,-0.006,-0.1,0.026,-0.057,-0.047,-0.118,0.346,0.318,0.045,0.344,-0.188,0.208
MRT,6,143,-0.024,-0.04,-0.016,-0.041,-0.027,-0.058,-0.004,-0.238,0.198,0.264,0.209,0.257,-0.169,0.272
NER,52,931,0.098,-0.01,-0.039,0.115,-0.033,0.044,0.069,-0.372,0.221,0.176,0.384,0.167,-0.291,0.334
