iso3,unit,year,in_aoi,log_yield_w,log_prod_w,t_dt_w,z_dt_w,rain_w,wsi_w,spi_w,asi_w,mvhi_w
AFG,Badakhshan,2002,False,0.576528354324529,-1.2724922921531678,0.222677630869529,0.7916234143949872,0.18452425142416704,0.10734938026974068,0.11990643774136175,-0.837708614070781,0.2519382804386837
AFG,Badakhshan,2003,False,1.1123364156778897,0.48694736747407874,-1.9999532616128444,-1.1991661247951342,0.8491667420827446,0.04119860577603935,1.2460021253968585,-0.6504683920116621,0.1292166485832009
AFG,Badakhshan,2004,False,-1.1242065169340707,-1.0212514971938096,0.8059127359510448,1.1787105816409977,-1.3744966192166694,0.0337058363780947,-1.7685368213328887,-0.6174221030665297,0.09298129210220142
AFG,Badakhshan,2005,False,1.0161806356645116,0.7628937646542753,-0.8514630302502058,-0.6022687847106588,0.5503672237429122,0.5509702863726322,0.0002842424062874491,-0.777357662087051,0.6621498632424768
AFG,Badakhshan,2006,False,-0.8323266600717251,-0.3191047885927792,1.0291399805442598,0.4236717288036255,-0.859998224983122,-0.6951292636078151,-0.17592550854133618,0.6740812662482806,-1.10381100072788
AFG,Badakhshan,2007,False,0.7595112793158746,0.822058681266797,0.7775674047047947,0.9441515742960738,1.2747103445261243,-1.2456192828130976,1.31029864595825,2.1331820049246746,-1.5724777340812344
AFG,Badakhshan,2008,False,-3.0770383602783244,-1.3401198054953083,1.4293761833673773,-0.19273207040609422,-1.7771522692970931,-1.0058207259506797,-2.3511793484640964,3.176629532598139,-2.0411444674345733
AFG,Badakhshan,2009,False,0.4773335617200053,0.7987958967146717,-0.7225978183298583,-0.859351534608256,1.376116157019395,0.5621661118628819,1.1651917872228814,-0.7213117465708949,1.5550437418120784
AFG,Badakhshan,2010,False,0.4950360155774373,0.28610216249450315,0.8295362209426844,0.9411072404280759,0.896931209289442,0.8823657564348035,1.1662371552913426,-0.7002370362836812,1.8647534868289508
AFG,Badakhshan,2011,False,-1.202125366486665,-0.5430307835315326,-0.007583944621383864,-0.5350314367761763,-1.3708961624800848,-0.9545175071418484,-0.6518999659399815,0.7339628187842422,-1.1120152323839723
AFG,Badakhshan,2012,False,-0.44501263612440084,0.6601672418362307,-1.5089766785703285,-1.8340144601205504,-0.0679625832888179,0.6897875506459691,-0.38623602083007524,-0.645158310758707,0.6679611939988538
AFG,Badakhshan,2013,False,1.2163550323989665,1.7188661795617486,0.3342197429849548,0.21438401590289516,-0.8748748459911391,-0.5459961145832898,-0.5054207493367078,-0.24769716746653697,-0.23313691622682448
