year,t_long_aoi,t_dt_long_aoi,rain_long_aoi,wsi_long_aoi,spi_long_aoi,z_long_aoi,z_dt_long_aoi,t_long_nat,t_dt_long_nat,rain_long_nat,wsi_long_nat,spi_long_nat,z_long_nat,z_dt_long_nat,t_short_aoi,t_dt_short_aoi,rain_short_aoi,wsi_short_aoi,spi_short_aoi,z_short_aoi,z_dt_short_aoi,t_short_nat,t_dt_short_nat,rain_short_nat,wsi_short_nat,spi_short_nat,z_short_nat,z_dt_short_nat,era5_nat,era5_aoi,asi_nat,mvhi_nat,prod_anom,impact,impact_cerf,impact_emdat,impact_plus_undated
2001,23.73922748447205,-0.12168463645087736,34.3342443926846,80.13894782608695,-0.16775652173913044,0.0641521739130435,0.19209557789274037,21.231549518743666,-0.259703265265704,48.8432069402229,89.69221702127659,-0.15783404255319147,0.13148936170212766,0.2747285311128953,22.982971618357485,0.05165080142595126,27.486486714975843,68.18544347826086,-0.14169565217391303,-0.4655956521739131,-0.4780067774146227,20.99295537825059,0.01818497519949591,32.840531323877066,80.50355744680851,0.010259574468085118,-0.3588531914893617,-0.16889400780302266,2.410157733333333,2.7235702682608696,0.74,0.57,6.796984439984774,0,0,0,0
2002,23.592142339544512,-0.2901666019510646,43.085621376811595,83.36121739130435,0.34406086956521736,0.23038260869565216,0.3476640623437076,21.300416497804797,-0.21000055500398748,57.77340142688281,90.8311914893617,0.34441702127659574,0.22421702127659573,0.3555195932364661,23.01850603864734,0.056273582036599996,39.25731884057971,72.88305217391304,0.12085217391304347,0.35054347826086957,0.33916661345688576,21.07502777777778,0.073151558083382,45.65080141843972,82.81845957446808,-0.009523404255319144,0.029312765957446817,0.20344201766992429,3.0276477000000006,3.368292757536232,2.33,0.55,-9.783598205753837,0,0,0,0
2003,24.070292529330573,0.16658676726234614,40.214902605244994,75.73301739130434,-0.0435391304347826,-0.16217826086956522,-0.05555875755315114,21.695628377237423,0.16604705562922653,56.565488179669025,85.94805531914895,-0.12480425531914893,-0.45515531914893614,-0.3357893446399631,23.167189613526567,0.1740455172366188,27.010960144927534,68.56473043478262,-0.42646956521739127,-0.065,-0.07534260436725802,21.24452541371158,0.21554337737388646,28.29293085106383,80.95445957446807,-0.6474468085106383,-0.2785744680851064,-0.12027514834649052,2.7235405999999998,3.2601743898550724,1.08,0.6,-0.5982542724330981,0,0,0,0
2004,23.97212836438923,0.04702578174835528,27.730855158730154,78.86144347826087,-0.33556521739130435,0.03952608695652173,0.1354836399412944,21.54140649273894,-0.007339097668665725,41.14714028199932,88.74000851063829,-0.2723404255319149,0.07538936170212766,0.1828187387602034,22.955844806763288,-0.06821092920587392,30.536647342995167,70.01747826086957,-0.06775652173913044,0.12076086956521741,0.11145252563468519,21.067912234042552,0.011824381061554362,33.26754609929078,80.44330212765958,-0.2260425531914894,0.00744255319148936,0.14991194095624363,2.3035614333333334,2.5754105155652174,14.13,0.47,-6.370536569527825,1,0,1,1
2005,24.319958505866115,0.3734591026525851,34.90075724637681,71.99192173913043,-0.4595304347826087,-0.30807391304347825,-0.222778310390347,21.88363525835866,0.31572539915164605,50.933475388382305,85.7268595744681,-0.3677063829787234,-0.1518127659574468,-0.056319986350268386,23.409131642512076,0.3541642668637099,15.543457729468601,56.674078260869564,-1.189008695652174,-0.6741434782608696,-0.6824175617546759,21.563802009456264,0.48060833983196427,18.30833510638298,71.35251489361703,-1.3431446808510639,-0.7108978723404255,-0.5842584165495328,2.6030565,2.9380204914492754,4.71,0.53,2.2402518940622436,1,1,1,1
2006,23.876464889579022,-0.09143133420715892,41.19488336783989,86.98924347826087,0.3607652173913044,0.012086956521739136,0.08672060884322898,21.373139733198244,-0.2139343948081833,58.92127752448497,93.07395319148937,0.5246085106382979,0.3552744680851064,0.4388306502413875,22.808612922705315,-0.27726609262226093,62.556090579710144,83.41346086956521,1.2747391304347826,0.5791434782608695,0.5719036552037889,20.930992612293142,-0.17930687397445758,69.51635401891252,88.93646808510638,1.13091914893617,0.20422340425531915,0.3150329280723503,3.023547833333333,3.3807554652173915,11.49,0.49,12.001052954229392,0,0,0,0
2007,24.14099594547964,0.15170290112081206,36.518149068322984,75.06877391304347,-0.260495652173913,0.17070869565217392,0.23468039764202234,21.68835097939885,0.08211258259301389,46.512381712259376,86.8745659574468,-0.3134723404255319,0.11602340425531915,0.18764298896070294,22.994329106280194,-0.12246154872659046,24.3901654589372,71.23116521739131,-0.2647652173913043,0.16131304347826086,0.15510748085790607,21.074581855791962,-0.06282344711894204,25.54349940898345,81.47907234042553,-0.5161489361702127,-0.025272340425531923,0.06970725141763759,2.084759566666667,2.329576085942029,7.06,0.52,-0.9412928640626506,0,0,0,0
2008,23.68206978951001,-0.32862007542147276,34.70397187715666,80.1955652173913,-0.08066086956521741,0.1250695652173913,0.17837931687559835,21.303973699763596,-0.3214289658416558,44.89021445457616,89.51287234042552,-0.33273617021276597,0.02235106382978723,0.08203405108427374,23.321732487922706,0.17403019323671465,25.730596618357485,65.49720869565218,-0.17800000000000002,-0.024560869565217393,-0.029732171748846396,21.282984929078015,0.1184738095238091,32.125105200945626,78.17542978723404,-0.01426382978723404,0.020927659574468085,0.10007731944377601,2.0721708666666667,2.34386989442029,6.55,0.49,-21.458327110441676,1,1,1,1
2009,24.447867149758455,0.41578046425432347,20.77103502415459,67.69468695652175,-1.1966347826086956,-1.0973478260869565,-1.054700024760391,22.00473353596758,0.36016660156291797,36.71161849881797,82.09118297872341,-1.0543361702127658,-0.9577765957446809,-0.9100302059410916,23.366237922705317,0.18762398834011468,36.938399154589376,72.53933043478261,-0.01608695652173913,-0.37844782608695654,-0.3825848678338597,21.378816193853428,0.18719925765592077,41.19553575650118,82.12127659574467,-0.12703404255319148,-0.6665255319148937,-0.6032058040194472,1.5244461999999999,1.5165195111449277,40.8,0.37,-20.588757831348623,1,1,0,1
2010,23.87028390269151,-0.18319960338526914,49.22598214285714,89.83366086956521,0.9594521739130435,0.9819869565217391,1.0139728075166634,21.564965805471125,-0.09876539773294708,64.21003014184397,94.4912085106383,1.0629531914893617,0.9767680851063829,1.012577877459075,23.474103260869562,0.26457768682515853,19.085892512077297,63.002930434782606,-0.8636347826086955,-0.3586086956521739,-0.36171147696235123,21.344738475177305,0.12601572233649633,26.933044326241138,78.72016170212765,-0.6345914893617022,-0.12560212765957446,-0.0781123317379897,3.578328433333333,3.6883554417391307,0.88,0.58,10.733545396576373,1,0,1,1
2011,24.46696342305038,0.3920830964009482,22.921221014492755,64.26313043478261,-1.027808695652174,-0.7153478260869565,-0.6940239254236736,21.94255428909152,0.2596588170880405,36.9011002617359,80.54620425531915,-0.9968340425531914,-0.508568085106383,-0.48469489020458834,22.78142149758454,-0.4590157161390736,47.42111533816425,86.63643478260869,1.1057304347826087,0.8379913043478261,0.8359227834743745,20.82275,-0.42307856948411,53.11139686761229,91.7154680851064,1.0867531914893616,0.7131063829787234,0.7447662469264466,1.5818039,1.8980342820289857,24.05,0.44,5.987865465368195,1,1,0,1
2012,24.07236525189786,-0.02391189532422096,37.35316589026915,70.41095652173912,-0.25996521739130435,-0.4891304347826087,-0.4784684844509673,21.596575607902736,-0.10548413290015803,57.00287364910503,84.0980085106383,-0.01572765957446809,-0.7627361702127659,-0.7507995727618686,23.18632729468599,-0.08502155871683184,36.06995229468599,75.37127826086957,0.1278521739130435,0.1666391304347826,0.1656048699980568,21.091039598108747,-0.18189478801866457,46.03648256501182,86.05433191489362,0.40299148936170215,0.18341276595744682,0.1992426979313084,2.476164266666667,2.7500844175072463,8.08,0.52,15.613978481066582,0,0,0,0
2013,23.77315769496204,-0.34451627283269004,49.18990364044168,89.84527826086955,0.9214956521739129,0.5841652173913043,0.5841652173913043,21.364306273218507,-0.35691773638379776,64.68120647585276,94.34646808510638,0.9688638297872341,0.5133361702127659,0.5133361702127659,23.15639009661836,-0.14587039646367334,26.331833333333332,70.21574782608695,-0.35249565217391304,-0.14306521739130434,-0.14306521739130434,21.06054550827423,-0.23949469449648136,32.60583096926714,82.62134893617021,-0.2634212765957447,-0.1237063829787234,-0.1237063829787234,3.5677802333333335,4.03143554289855,2.32,0.55,8.842496809156868,1,0,1,1
2014,23.927946946169776,-0.21112384219760996,31.55169108005521,79.42490434782609,-0.2215391304347826,-0.013613043478260872,-0.02427499380990228,21.55220710908477,-0.18818116931694712,40.827459008780814,88.87805106382979,-0.5462978723404255,-0.0044021276595744676,-0.016338725110471766,23.349030193236718,0.01585806047547616,30.581516304347826,70.55707826086956,0.01470434782608696,-0.14782173913043478,-0.14678747869370898,21.267920212765958,-0.059225806648057225,36.377642730496454,82.74742553191489,0.06030212765957447,-0.00908297872340425,-0.024912910697265842,2.3995423000000002,2.619581884637681,15.95,0.46,4.615368275699212,0,0,0,0
2015,24.102539596273292,-0.05792801266674089,39.44343055555556,88.33879130434784,0.15628695652173913,-0.23486086956521737,-0.25618477022850017,21.72529871664978,-0.034253830551346606,56.83095875548801,93.34340425531916,0.09780425531914894,-0.5245744680851064,-0.548447662986901,23.59235084541063,0.22826707297018128,42.23707608695652,76.04733913043478,0.5291478260869565,0.051173913043478264,0.053242433916929864,21.464039302600472,0.10978746654315655,52.7533280141844,84.62950212765958,0.7484808510638299,0.05857872340425532,0.02691885945653215,3.033996,3.357482777536232,11.26,0.48,11.988026483612762,0,0,0,0
2016,24.584515010351968,0.4026505808392829,35.717685472739824,79.37751304347826,-0.04977391304347827,-0.15242173913043477,-0.18440759012535898,22.173727583586626,0.3950107675860878,53.05608557075312,89.44999999999999,-0.029561702127659583,-0.14080212765957448,-0.17661192001226636,23.476757850241547,0.08176243812189199,20.517740338164252,53.94395652173913,-0.8965826086956522,-0.8856695652173913,-0.8825667839072139,21.62681294326241,0.24545529056179385,22.176040780141847,69.99568510638298,-1.0529063829787235,-0.8251404255319148,-0.8726302214534996,2.6425591466666667,2.951998743768116,6.72,0.52,-3.8558094500567277,1,1,1,1
2017,24.51909385783299,0.31583260774765426,28.01789786059351,68.61073043478261,-0.7100434782608696,-0.9683086956521739,-1.0109564969787395,22.181921732522795,0.3840406477228469,42.53902942418102,82.90137872340425,-0.5171106382978724,-0.6195063829787234,-0.6672527727823127,23.385635265700483,-0.040271786098379274,30.241581521739132,71.56412173913043,0.18717391304347827,-0.16010434782608696,-0.15596730607918377,21.458528368794326,0.05006489945040686,34.84714745862884,83.21156170212767,0.2168808510638298,0.03452340425531915,-0.0287963236401272,2.0450652,2.489453875608696,22.89,0.44,-9.752041750037204,0,0,0,0
2018,23.081394323671496,-1.1432637469864873,77.49392201518289,95.75170434782609,1.9280260869565218,0.9922434782608696,0.9389337266026625,20.840329998311383,-0.9767153552879794,92.76837673083418,97.55542553191488,1.7726212765957445,0.7618276595744681,0.7021446723199816,23.48437741545894,0.02755872398086661,28.095351449275363,67.77519130434783,-0.4613739130434783,-0.07103478260869565,-0.06586348042506666,21.533418735224586,0.09784944923736515,34.39281264775414,80.61783404255318,-0.5252595744680851,-0.0747936170212766,-0.15394327689058454,5.2965387,6.145378846376811,3.07,0.62,11.877969407926125,1,0,1,1
