iso3,record,start,end,season,basis
KEN,CERF 2019 Rapid Response $5.0M,2019-03-01,2019-05-28,2019,overlap
KEN,CERF 2021 Rapid Response $5.0M,2020-10-01,2021-05-28,2021,overlap
KEN,CERF 2022 Underfunded Emergencies $6.0M (undated),2022-01-01,,2021,undated: last-season-before-impact
KEN,CERF 2022 Rapid Response $4.0M,2020-10-01,2022-05-28,2021,overlap
KEN,CERF 2023 Underfunded Emergencies $8.0M (undated),2023-01-01,,2022,undated: last-season-before-impact
KEN,EM-DAT 1999-9388-KEN (23000000 affected),1999-12-01,2002-12-28,1999,last-season-before-impact
KEN,EM-DAT 2004-9288-KEN (2300000 affected),2004-07-01,2004-12-28,2004,last-season-before-impact
KEN,EM-DAT 2005-9719-KEN (3500000 affected),2005-12-01,2006-12-28,2005,last-season-before-impact
KEN,EM-DAT 2008-9302-KEN (3800000 affected),2008-07-01,2009-12-28,2008,last-season-before-impact
KEN,EM-DAT 2010-9082-KEN (4300000 affected),2011-01-01,2011-01-28,2010,last-season-before-impact
KEN,EM-DAT 2011-9663-KEN (3750000 affected),2011-01-01,2012-12-28,2010,last-season-before-impact
KEN,EM-DAT 2014-9404-KEN (1600000 affected),2014-01-01,2015-05-28,2013,last-season-before-impact
KEN,EM-DAT 2016-9452-KEN (3400000 affected),2016-06-01,2018-01-28,2016,last-season-before-impact
KEN,EM-DAT 2019-9145-KEN (2600000 affected),2019-01-01,2019-09-28,2018,last-season-before-impact
KEN,EM-DAT 2020-9609-KEN (4500000 affected),2020-12-01,2022-12-28,2020,last-season-before-impact
KEN,EM-DAT 2025-9222-KEN (2150000 affected),2025-01-01,2025-12-28,2024,last-season-before-impact
GTM,CERF 2009 Rapid Response $5.0M,2009-05-01,2009-09-28,2009,overlap
GTM,CERF 2014 Rapid Response $2.9M,2014-06-01,2014-08-28,2014,overlap
GTM,CERF 2016 Rapid Response $4.8M,2015-05-01,2015-09-28,2015,overlap
GTM,CERF 2019 Rapid Response $2.0M,2018-06-01,2018-08-28,2018,overlap
GTM,CERF 2020 Underfunded Emergencies $5.0M (undated),2020-01-01,,2019,undated: last-season-before-impact
GTM,CERF 2025 Rapid Response $4.0M,2025-09-01,2025-11-28,2025,last-season-before-impact
GTM,CERF 2026 Rapid Response $4.0M,2026-05-01,2026-08-28,2026,overlap
GTM,EM-DAT 2001-9383-GTM (113596 affected),2001-09-01,2001-12-28,2001,last-season-before-impact
GTM,EM-DAT 2009-9415-GTM (2500000 affected),2009-03-01,2009-12-28,2008,last-season-before-impact
GTM,EM-DAT 2012-9355-GTM (266485 affected),2012-06-01,2012-12-28,2012,last-season-before-impact
GTM,EM-DAT 2014-9277-GTM (1300000 affected),2014-08-01,2016-12-28,2014,last-season-before-impact
