year,t_JAS_nat,t_dt_JAS_nat,rain_JAS_nat,wsi_JAS_nat,spi_JAS_nat,z_JAS_nat,z_dt_JAS_nat,era5_nat,asi_nat,mvhi_nat,prod_anom,impact,impact_cerf,impact_emdat,impact_plus_undated
2001,28.780213485663083,0.022819543570369992,38.14669153225806,80.37604838709677,0.3987709677419355,-0.25253174603174605,0.1376652695350987,0.6792104266666666,0.54,0.59,-6.032130746180931,0,0,0,0
2002,29.29270273297491,0.5358409945547217,36.012951388888894,74.19997096774193,-0.29675161290322577,-0.6019714285714286,-0.2442908309684876,0.6649164533333334,2.12,0.54,-2.7150338613432354,0,0,0,0
2003,28.59381093189964,-0.162518602848024,39.98896796594982,84.15527741935483,0.7796935483870968,0.317836507936508,0.6430006875755452,0.7314413166666666,0.48,0.61,-3.9630270604838724,0,0,0,0
2004,29.13445138888889,0.378654057813747,31.336072580645162,74.15602258064516,-0.4998483870967742,-0.5850698412698413,-0.29242207959470773,0.48586908,3.1,0.47,-26.83380126995037,1,0,1,1
2005,28.751961245519713,-0.0033038818829057176,35.42561962365591,79.69788387096774,0.33864516129032257,0.4675063492063492,0.7276376929175791,0.6912175666666666,1.35,0.56,-1.737458889232602,0,0,0,0
2006,28.96237275985663,0.20763983612653514,40.613415770609315,74.50199354838709,-0.08148387096774193,-0.6836222222222221,-0.4560072964748962,0.6575902,2.74,0.57,4.421370004915736,0,0,0,0
2007,28.441379256272402,-0.31282146378517106,37.64639628136201,79.18004838709676,0.35163225806451615,-0.10334444444444445,0.09175406333897791,0.80808965,6.39,0.49,-3.215843468681534,0,0,0,1
2008,28.763676075268815,0.010007558883767873,36.024778897849465,76.66836451612905,0.1935451612903226,-0.02990000000000001,0.13268208981951862,0.5889110866666667,0.1,0.62,20.23405580690563,0,0,0,0
2009,29.620495295698923,0.8673589829863994,29.85488082437276,62.93489677419355,-0.7668096774193549,-0.7278460317460318,-0.5977803598904168,0.48170751666666667,8.97,0.49,-16.7425780938209,1,1,1,1
2010,28.610057123655913,-0.14254698538408792,39.24557997311828,82.37824193548387,0.562316129032258,-0.07942222222222223,0.018127031669488952,1.1007506566666667,0.34,0.66,21.94609856380049,1,0,1,1
2011,29.33066778673835,0.5785958813708723,30.24763888888889,67.75026129032258,-0.5319129032258064,-0.27625555555555553,-0.2112227196277481,0.5872393633333334,4.37,0.56,-18.359561566013895,1,1,0,1
2012,28.29427755376344,-0.45726214793151465,40.07416823476703,85.00181612903226,0.5657322580645162,0.2529761904761905,0.2854926084400942,0.88712065,1.71,0.62,18.069247213233623,0,0,0,0
2013,28.767564964157707,0.016557466135274063,35.65966151433692,76.59524193548387,0.21186451612903226,-0.20306031746031747,-0.20306031746031747,0.66755042,1.22,0.61,-6.705761292191746,0,0,0,0
2014,29.01439336917563,0.2639180748257183,33.732406586021504,75.6545870967742,-0.28026774193548387,-0.16905396825396823,-0.201570386217872,0.8175209233333334,2.25,0.56,1.9253061946831886,1,0,1,1
2015,28.993665770609322,0.2437226799319336,38.46569735663083,78.45657741935483,0.011474193548387092,-0.4556619047619047,-0.5206947406897122,0.9517802,3.19,0.6,11.620831343871583,0,0,0,0
2016,28.89265031362007,0.14323942661520914,33.4361310483871,79.83048709677419,-0.020864516129032253,0.011999999999999997,-0.0855492538917112,0.8950190666666668,2.37,0.57,16.690926221307894,1,0,1,1
2017,28.961660394265234,0.21278171093289427,27.729357078853045,75.31054193548387,-0.640525806451613,0.5019396825396826,0.3718740106840676,0.8654302499999998,1.88,0.59,14.915890353350997,0,0,0,0
2018,28.5561377688172,-0.19220871084261118,36.186938620071686,85.77067741935484,0.18100322580645162,0.24908571428571427,0.08650362446619565,0.9600052866666666,0.7,0.69,16.757046484156188,0,0,0,0
2019,28.961236111111113,0.21342183512381838,38.63265165770609,78.71596451612903,0.459058064516129,-0.017347619047619042,-0.2124461268310414,1.0843244333333333,1.74,0.6,-0.8720519815540932,1,0,1,1
2020,28.29911783154122,-0.44816424077355055,48.740729390681004,86.4968741935484,1.2818096774193548,0.19552380952380952,-0.03209111622351656,0.9622903033333333,0.55,0.7,5.968903582243449,0,0,0,0
2021,29.065662186379928,0.31891231773768214,41.32669870071685,79.19283225806451,0.5098935483870968,0.3903365079365079,0.1302051642252781,0.51989037,1.3,0.64,-38.282481129635535,1,0,1,1
2022,28.40604659498208,-0.34017106998764324,40.71157123655914,81.30632580645161,0.1849032258064516,0.04457301587301586,-0.2480747458021177,0.73194112,1.35,0.67,3.8491827182996334,1,1,0,1
2023,29.53172155017921,0.7860360888820126,33.82602172939068,77.46986451612902,-0.36321612903225803,0.06986666666666667,-0.2552975129723706,0.4993266733333333,5.0,0.6,-14.026574126984274,0,0,0,0
2024,28.008298835125448,-0.7368544224992275,55.57171796594982,91.61689032258064,1.8623548387096776,0.572784126984127,0.215103529381186,1.9118574333333331,0.03,0.8,-0.4039089642097454,0,0,0,0
2025,28.192336693548388,-0.5522843604037654,43.165403001792114,86.18538064516129,0.5410258064516129,0.8591650793650794,0.4689680637982347,0.69982407,2.69,0.67,,0,0,0,0
