region_id,year,t,rain,wsi,spi,z,t_dt,z_dt,region_name
26,1989,9.089333333333334,12.397555555555556,,-0.6158,,-1.4478846560846552,,Sar-E-Pul
26,1990,10.874666666666666,5.356888888888889,,-1.0004,,0.24526349206349174,,Sar-E-Pul
26,1991,10.456777777777777,19.643666666666668,83.546,0.1568,,-0.2648105820105826,,Sar-E-Pul
26,1992,8.635333333333334,15.507888888888889,90.7864,-0.23679999999999998,,-2.1784402116402113,,Sar-E-Pul
26,1993,10.47488888888889,18.290666666666667,86.4478,0.2144,,-0.4310698412698404,,Sar-E-Pul
26,1994,10.898555555555555,11.627333333333333,80.2136,-0.5186,,-0.09958835978835978,,Sar-E-Pul
26,1995,10.638333333333334,12.042666666666667,82.7046,-0.5108,,-0.4519957671957666,,Sar-E-Pul
26,1996,10.196111111111112,19.009333333333334,84.0424,0.49000000000000005,,-0.9864031746031738,,Sar-E-Pul
26,1997,10.457444444444443,15.950666666666669,80.612,-0.011399999999999993,,-0.8172550264550278,,Sar-E-Pul
26,1998,12.028222222222222,24.218666666666667,93.2002,1.0732000000000002,,0.6613375661375667,,Sar-E-Pul
26,1999,10.530222222222223,16.039333333333335,91.0196,0.2994,,-0.9288476190476178,,Sar-E-Pul
26,2000,13.089444444444446,4.8357777777777775,70.9042,-2.375,,1.53818941798942,,Sar-E-Pul
26,2001,14.388444444444445,7.216555555555555,72.4216,-1.6216000000000002,-0.593,2.7450042328042343,-0.38837999999999995,Sar-E-Pul
26,2002,12.717111111111112,19.504333333333335,93.8104,0.32080000000000003,0.658,0.9814857142857161,0.8455683333333334,Sar-E-Pul
26,2003,10.466222222222221,23.177000000000003,93.2634,1.312,-0.1376,-1.3615883597883602,0.032916666666666705,Sar-E-Pul
26,2004,12.839,8.48188888888889,79.1908,-1.1788,0.1532,0.9190042328042338,0.306665,Sar-E-Pul
26,2005,11.728222222222222,17.939222222222224,87.1736,0.5052,-0.3526,-0.2839587301587301,-0.21618666666666667,Sar-E-Pul
26,2006,13.504222222222221,12.961444444444444,85.176,0.0736,-0.2121,1.3998560846560846,-0.09273833333333333,Sar-E-Pul
26,2007,13.001555555555555,20.54222222222222,89.0728,0.9164,-0.0374,0.805004232804233,0.06491000000000001,Sar-E-Pul
26,2008,14.567444444444444,8.15488888888889,74.6836,-1.8648,-1.1398000000000001,2.278707936507937,-1.0545416666666667,Sar-E-Pul
26,2009,12.130222222222223,28.94677777777778,96.9096,1.5059999999999998,0.19449999999999998,-0.25069947089946965,0.26270666666666664,Sar-E-Pul
26,2010,13.970777777777776,15.254666666666667,90.8306,0.6862,0.8069,1.497670899470899,0.858055,Sar-E-Pul
26,2011,13.033444444444445,11.33,80.2612,-0.35140000000000005,-1.0137,0.46815238095238243,-0.9795966666666667,Sar-E-Pul
26,2012,11.38811111111111,17.929222222222222,90.3086,0.1776,-0.46240000000000003,-1.2693661375661378,-0.44534833333333335,Sar-E-Pul
26,2013,11.953555555555555,18.526444444444444,86.377,0.4138,0.4508,-0.7961068783068779,0.4508,Sar-E-Pul
26,2014,11.772333333333332,21.305111111111113,84.9734,0.6113999999999999,-0.8019000000000001,-1.0695142857142859,-0.8189516666666667,Sar-E-Pul
26,2015,12.247555555555557,14.999333333333333,85.2588,0.6624,0.2802,-0.6864772486772459,0.24609666666666666,Sar-E-Pul
26,2016,13.732555555555557,23.946777777777775,82.7536,0.4516,0.8204,0.7063375661375684,0.769245,Sar-E-Pul
