region_id,year,t,rain,wsi,spi,z,t_dt,z_dt,region_name
104,1989,25.607,63.72955555555556,,-0.4998,,-0.022073015873012025,,Aboudéia
104,1990,26.359333333333332,56.727555555555554,,-1.1398,,0.7034666666666709,,Aboudéia
104,1991,25.908333333333335,60.462,97.7564,0.060399999999999995,,0.22567301587302424,,Aboudéia
104,1992,25.532333333333334,61.91266666666666,96.32300000000001,-0.4904,,-0.17712063492062669,,Aboudéia
104,1993,25.80311111111111,52.87877777777778,97.9096,-1.6752000000000002,,0.06686349206349718,,Aboudéia
104,1994,25.43788888888889,78.95222222222223,99.72619999999999,0.8112,,-0.32515238095237464,,Aboudéia
104,1995,25.810666666666666,65.36533333333334,97.4802,-0.4102,,0.020831746031753084,,Aboudéia
104,1996,25.648666666666667,66.69411111111111,99.8518,-0.048,,-0.1679619047618992,,Aboudéia
104,1997,25.978666666666665,54.40866666666667,98.949,-0.805,,0.13524444444444939,,Aboudéia
104,1998,26.020444444444443,76.83644444444445,95.2016,0.42219999999999996,,0.1502285714285776,,Aboudéia
104,1999,25.343222222222224,85.87055555555555,98.9314,1.1423999999999999,,-0.5537873015872918,,Aboudéia
104,2000,25.894333333333336,59.91377777777778,99.5318,-0.4664,,-0.029469841269833097,,Aboudéia
104,2001,25.65722222222222,70.20711111111112,99.024,0.5189999999999999,-0.20659999999999995,-0.2933746031745983,-0.1726089285714285,Aboudéia
104,2002,26.43788888888889,71.35,94.01559999999999,-0.10539999999999998,-0.08399999999999999,0.4604984126984206,-0.05284151785714285,Aboudéia
104,2003,25.533555555555555,68.19866666666667,99.5924,0.4542,0.9861,-0.4706285714285663,1.0144258928571428,Aboudéia
104,2004,26.276666666666667,61.86666666666666,99.11,-0.4126,0.7928000000000001,0.24568888888889617,0.8182933035714286,Aboudéia
104,2005,25.997,70.53066666666668,99.5138,1.641,0.07350000000000001,-0.06077142857142093,0.0961607142857143,Aboudéia
